,count
60,1
65,1
77,1
87,1
89,1
90,1
99,1
101,1
106,1
108,3
109,1
110,2
112,1
114,3
115,1
116,1
119,1
120,1
121,1
123,1
125,1
128,1
132,1
133,1
134,3
135,2
140,2
142,1
143,1
144,2
148,2
149,2
150,1
152,2
153,1
154,2
155,1
156,2
157,1
158,1
160,3
163,2
164,1
166,1
167,3
168,1
172,1
175,1
176,3
178,1
179,1
180,1
181,2
183,4
184,1
185,2
186,1
187,2
188,1
189,1
191,3
192,2
193,2
195,1
196,1
198,4
199,4
200,1
201,2
202,2
203,3
205,3
206,3
207,1
209,3
210,5
211,3
212,2
213,1
214,1
215,1
216,5
217,1
218,2
219,2
221,2
222,2
223,3
224,4
225,5
226,4
227,5
228,1
229,2
230,4
231,4
234,3
235,3
236,3
237,6
238,2
239,1
240,1
241,2
242,4
244,4
245,6
246,6
247,9
248,6
249,2
250,3
251,3
252,3
253,3
254,5
255,7
256,10
257,7
258,7
259,9
260,5
261,6
262,8
263,4
264,8
265,4
266,6
267,4
268,10
269,9
270,8
271,7
272,8
273,8
274,11
275,9
276,7
277,11
278,9
279,7
280,6
281,4
282,8
283,11
284,11
285,17
286,5
287,15
288,14
289,12
290,10
291,19
292,17
293,12
294,16
295,20
296,20
297,34
298,229
299,223
306,1
315,1
320,1
326,1
331,1
332,1
338,1
343,1
344,1
347,2
348,1
354,1
356,1
357,1
359,1
360,1
363,1
365,2
366,1
367,1
368,1
371,1
372,3
374,1
376,1
378,1
380,1
382,1
383,1
384,2
385,1
386,2
387,2
388,1
389,1
390,1
391,2
392,1
396,2
399,1
402,2
404,1
405,2
407,1
408,1
410,1
413,1
414,2
415,1
416,1
417,1
419,1
422,1
424,1
425,1
426,1
427,1
428,1
429,1
430,2
433,3
434,1
435,2
437,1
442,1
445,1
448,1
451,2
452,3
453,1
454,2
455,1
456,1
457,1
458,1
461,1
463,1
465,2
470,1
472,1
473,1
474,1
476,1
479,2
481,1
482,1
483,1
488,1
489,1
496,1
497,1
498,1
503,1
506,1
513,1
514,1
515,1
520,1
521,1
523,1
527,1
537,1
540,1
561,1
564,1
567,2
571,1
574,1
580,1
588,1
594,1
609,1
618,1
670,1
687,1
726,1
735,1
740,1
756,1
777,1
858,1
896,1
