Date,PitchType,Velocity(MPH),SpinRate(RPM),Pitcher,PitcherHand,Batter,BatterHand,Extension(ft),Angle(deg),Break(in),Zone,Count,Inning,Result,Description,VideoLink
2025-07-07,FF,93.7,2142,"Yamamoto, Yoshinobu",R,"Monasterio, Andruw",R,65.4,40,195,14,1-1,Bot 1,Hit Into Play,Andruw Monasterio singles on a fly ball to right fielder Andy Pages. Brice Turang scores. Caleb Durbin to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=9ea3b12c-defd-3f8a-9d1b-1391f66d1955
2025-07-07,SL,87.0,2626,"Yamamoto, Yoshinobu",R,"Monasterio, Andruw",R,--,,,14,0-1,Bot 1,Ball,Andruw Monasterio singles on a fly ball to right fielder Andy Pages. Brice Turang scores. Caleb Durbin to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=91ebfa43-ff9a-3c8d-8989-05ee2f4bd825
2025-07-07,FF,95.4,2263,"Yamamoto, Yoshinobu",R,"Monasterio, Andruw",R,--,,,8,0-0,Bot 1,Called Strike,Andruw Monasterio singles on a fly ball to right fielder Andy Pages. Brice Turang scores. Caleb Durbin to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=5b768d31-1028-391f-bf9d-4891801ce440
2025-07-07,FS,89.6,1490,"Yamamoto, Yoshinobu",R,"Durbin, Caleb",R,95.5,3,68,8,0-1,Bot 1,Hit Into Play,Caleb Durbin reaches on a throwing error by shortstop Mookie Betts. Isaac Collins scores. Brice Turang to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=4b4de0bd-541a-342d-afe8-e9e446d40af2
2025-07-07,FF,94.7,2324,"Yamamoto, Yoshinobu",R,"Durbin, Caleb",R,--,,,2,0-0,Bot 1,Called Strike,Caleb Durbin reaches on a throwing error by shortstop Mookie Betts. Isaac Collins scores. Brice Turang to 3rd.,https://baseballsavant.mlb.com/sporty-videos?playId=090b6df5-6144-3755-a48e-0aa196196fcd
2025-07-07,FF,94.8,2317,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,13,3-2,Bot 1,Ball,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=a1af31e7-585f-38ce-839d-7eac0c235560
2025-07-07,FF,94.5,2269,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,79.2,17,189,1,3-2,Bot 1,Foul,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=8a5b8bb6-57ed-3f3b-86c5-306778fbdcab
2025-07-07,FF,95.0,2272,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,13,3-1,Bot 1,Swinging Strike,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=e3b0db66-82f6-3058-a5c9-d09575c89af2
2025-07-07,FF,94.7,2264,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,4,3-0,Bot 1,Called Strike,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=ac098637-a926-3f53-a04e-16112a28640d
2025-07-07,FC,90.6,2419,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,11,2-0,Bot 1,Ball,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=40390059-a802-336e-94a0-9a267a2a7b29
2025-07-07,FF,94.6,2237,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,13,1-0,Bot 1,Ball,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=c93f5bc7-6dcf-3133-bb76-823b10cf49bd
2025-07-07,FF,94.4,2207,"Yamamoto, Yoshinobu",R,"Turang, Brice",L,--,,,14,0-0,Bot 1,Ball,Brice Turang walks. Isaac Collins to 2nd.,https://baseballsavant.mlb.com/sporty-videos?playId=fadb0032-a72a-3aba-939f-b1a448dca047
2025-07-07,FF,95.5,2177,"Yamamoto, Yoshinobu",R,"Collins, Isaac",L,107.6,10,193,5,1-2,Bot 1,Hit Into Play,Isaac Collins singles on a sharp line drive to right fielder Andy Pages.,https://baseballsavant.mlb.com/sporty-videos?playId=bcc44705-8bfc-3e9b-8ef7-17ab291d9e68
2025-07-07,FS,90.1,1264,"Yamamoto, Yoshinobu",R,"Collins, Isaac",L,67.8,50,186,4,1-2,Bot 1,Foul,Isaac Collins singles on a sharp line drive to right fielder Andy Pages.,https://baseballsavant.mlb.com/sporty-videos?playId=341cc1f3-4eb5-320d-8b7a-9bb3fdbc9345
2025-07-07,FS,90.5,1507,"Yamamoto, Yoshinobu",R,"Collins, Isaac",L,--,,,13,0-2,Bot 1,Ball,Isaac Collins singles on a sharp line drive to right fielder Andy Pages.,https://baseballsavant.mlb.com/sporty-videos?playId=9925283d-8f22-3cf9-a031-0d32241cf5df
2025-07-07,FC,90.7,2445,"Yamamoto, Yoshinobu",R,"Collins, Isaac",L,43.4,70,68,6,0-1,Bot 1,Foul,Isaac Collins singles on a sharp line drive to right fielder Andy Pages.,https://baseballsavant.mlb.com/sporty-videos?playId=9505996b-dd55-341c-95b5-591d87daacb7
2025-07-07,FF,95.4,2220,"Yamamoto, Yoshinobu",R,"Collins, Isaac",L,--,,,4,0-0,Bot 1,Called Strike,Isaac Collins singles on a sharp line drive to right fielder Andy Pages.,https://baseballsavant.mlb.com/sporty-videos?playId=c495954b-3fa4-3d66-b956-41c6614a7072
2025-07-07,SL,85.2,2820,"Yamamoto, Yoshinobu",R,"Vaughn, Andrew",R,101.8,30,409,12,2-2,Bot 1,Hit Into Play,Andrew Vaughn homers (6) on a fly ball to left center field. Sal Frelick scores. William Contreras scores.,https://baseballsavant.mlb.com/sporty-videos?playId=6cfb54d2-aa7c-37e0-82c1-bba31d682fb4
2025-07-07,FF,96.6,2272,"Yamamoto, Yoshinobu",R,"Vaughn, Andrew",R,--,,,8,2-1,Bot 1,Called Strike,Andrew Vaughn homers (6) on a fly ball to left center field. Sal Frelick scores. William Contreras scores.,https://baseballsavant.mlb.com/sporty-videos?playId=8accb7a4-18ea-36a2-9e42-8b1fb13fe838
2025-07-07,SL,85.8,2947,"Yamamoto, Yoshinobu",R,"Vaughn, Andrew",R,--,,,14,1-1,Bot 1,Ball,Andrew Vaughn homers (6) on a fly ball to left center field. Sal Frelick scores. William Contreras scores.,https://baseballsavant.mlb.com/sporty-videos?playId=83137b18-ebcb-3c60-ae8e-c6e3ea98efc3
2025-07-07,SL,85.0,2885,"Yamamoto, Yoshinobu",R,"Vaughn, Andrew",R,--,,,14,0-1,Bot 1,Ball,Andrew Vaughn homers (6) on a fly ball to left center field. Sal Frelick scores. William Contreras scores.,https://baseballsavant.mlb.com/sporty-videos?playId=4d2106b1-1f13-3bf8-876e-6b52628be5ec
2025-07-07,SL,87.0,2762,"Yamamoto, Yoshinobu",R,"Vaughn, Andrew",R,--,,,9,0-0,Bot 1,Swinging Strike,Andrew Vaughn homers (6) on a fly ball to left center field. Sal Frelick scores. William Contreras scores.,https://baseballsavant.mlb.com/sporty-videos?playId=a5175dba-aec6-3613-bccb-ec8a55377740
2025-07-07,FC,91.2,2456,"Yamamoto, Yoshinobu",R,"Yelich, Christian",L,75.4,-35,4,2,3-2,Bot 1,Hit Into Play,"Christian Yelich grounds out, third baseman Miguel Rojas to first baseman Freddie Freeman. Sal Frelick to 3rd. William Contreras to 2nd.",https://baseballsavant.mlb.com/sporty-videos?playId=7ef6962b-419f-346e-ad70-7903d1b5e16c
2025-07-07,FC,91.5,2453,"Yamamoto, Yoshinobu",R,"Yelich, Christian",L,--,,,3,3-1,Bot 1,Swinging Strike,"Christian Yelich grounds out, third baseman Miguel Rojas to first baseman Freddie Freeman. Sal Frelick to 3rd. William Contreras to 2nd.",https://baseballsavant.mlb.com/sporty-videos?playId=356ebc10-ad63-39f5-b80e-b8765612d47c
2025-07-07,FF,95.2,2206,"Yamamoto, Yoshinobu",R,"Yelich, Christian",L,84.7,41,271,8,3-0,Bot 1,Foul,"Christian Yelich grounds out, third baseman Miguel Rojas to first baseman Freddie Freeman. Sal Frelick to 3rd. William Contreras to 2nd.",https://baseballsavant.mlb.com/sporty-videos?playId=d795fdcf-448c-3fe4-a3a2-c2e2ecbcb414
